Genes,in_atlas
ACSL4,True
YWHAB,True
CDC25B,True
CDC25C,True
BABAM1,True
BRCC3,True
TTK,True
SMARCC1,True
SWI5,True
MORF4L1,True
RNF169,True
HERC2,True
AFF2,True
MUTYH,True
HMGB2,True
PIF1,True
MSH4,True
MSH5,True
EXO1,True
CDC25A,True
PLRG1,True
XPC,True
BCAS2,True
UBE2V2,True
UIMC1,True
UNG,True
USP1,True
WRN,True
XAB2,True
ZSWIM7,True
ENDOV,True
SPRTN,True
RNF4,True
SMARCA4,True
IDH1,True
WEE1,True
AEN,True
PLK3,True
EXO5,True
CDC5L,True
POLE4,True
POLR2A,True
HFM1,True
ERCC6,True
BRIP1,True
PALB2,True
FAAP100,True
FANCA,True
FANCC,True
FANCE,True
FANCF,True
FANCL,True
FANCM,True
HES1,True
FANCD2,True
FANCI,True
FAN1,True
PPP4R4,True
RDM1,True
RAD51D,True
PAXIP1,True
BARD1,True
GTF2H5,True
POLR2C,True
GTF2H4,True
POLR2D,True
POLR2E,True
POLR2F,True
POLR2G,True
POLR2H,True
POLR2I,True
POLR2J,True
POLR2K,True
POLR2L,True
CUL3,True
ERCC1,True
ERCC4,True
ERCC5,True
UVSSA,True
XPA,True
ERCC2,True
GTF2H2,True
UBE2T,True
UBE2N,True
UBE2B,True
MGMT,True
MPG,True
MPLKIP,True
MRPL40,True
NABP2,True
NEIL1,True
NEIL2,True
NEIL3,True
NFATC2IP,True
NSMCE1,True
NSMCE2,True
NSMCE4A,True
NTHL1,True
NUDT1,True
NUDT15,True
NUDT18,True
RRM1,True
RRM2,True
MNAT1,True
MBD4,True
TYMS,True
KAT5,True
CUL4A,True
CUL5,True
DCLRE1B,True
DDB1,True
DDB2,True
DNA2,True
EID3,True
EME2,True
ERCC3,True
ABRAXAS1,True
FEN1,True
GADD45A,True
GEN1,True
GTF2H1,True
GTF2H3,True
HLTF,True
INO80,True
OGG1,True
PARP2,True
PARP4,True
POLA1,True
RECQL5,True
RMI1,True
RNMT,True
RRM2B,True
SETMAR,True
SMARCAD1,True
SMC5,True
SMC6,True
SMUG1,True
SWSAP1,True
TCEA1,True
TDG,True
TDP1,True
TELO2,True
TOP3A,True
TOPBP1,True
TP53,True
RECQL4,True
RECQL,True
RBX1,True
PPP4C,True
POLE,True
POLE2,True
POLE3,True
POLG,True
POLH,True
POLI,True
POLQ,True
PPP4R1,True
RBBP8,True
PPP4R2,True
PRPF19,True
RAD23A,True
RAD23B,True
RAD51,True
RAD51C,True
RAD52,True
EME1,True
MUS81,True
CHEK2,True
UBE2I,True
SUMO2,True
SUMO3,True
SUMO4,True
UBB,True
UBC,True
UBD,True
CRY1,True
CRY2,True
CCNO,True
MYBBP1A,True
DCLRE1A,True
TREX1,True
TREX2,True
ASF1A,True
ASF1B,True
ATF2,True
ATXN3,True
SUMO1,True
UBE2NL,False
BTG2,True
UBA2,True
MVP,True
TNKS,True
MAD2L2,True
REV1,True
REV3L,True
POLN,True
SHPRH,True
TDP2,True
COPS7A,True
COPS2,True
COPS3,True
COPS4,True
COPS7B,True
COPS8,True
GPS1,True
MDM4,True
UBA1,True
BAP1,True
CIB1,True
RAD54B,True
PRKCG,True
RIF1,True
RPAIN,True
RPS27L,True
SETX,True
SFR1,True
SIRT1,True
SLX1B,True
SOD1,True
TADA3,True
TNP1,True
TRIM28,True
TTI1,True
TTI2,True
UBE2V1,True
UPF1,True
UVRAG,True
VCP,True
PRMT6,True
POLG2,True
CNOT7,True
PMS2P5,False
CSNK1D,True
CSNK1E,True
DDX11,True
DLGAP5,True
DMC1,True
DNMT1,True
HINFP,True
IGHMBP2,True
IP6K3,True
MEN1,True
MMS19,True
MTOR,True
NABP1,True
PIAS2,True
PIAS3,True
PIAS4,True
PINX1,True
TEP1,True
NOP10,True
GAR1,True
CCNB1,True
CCND2,True
CCND3,True
ATR,True
ABL1,True
RAD17,True
HUS1B,True
RAD9A,True
RAD9B,True
CCNA2,True
CCNB2,True
CCNB3,True
CCNC,True
AMN1,True
PER1,True
PER2,True
PER3,True
ARID1A,True
CDKN2D,True
CCNA1,True
DKC1,True
TIPIN,True
SLX1A,True
SLX4,True
SPO11,True
XRCC4,True
DNTT,True
XRCC2,True
XRCC3,True
ANKRD28,True
ANKRD44,True
ANKRD52,True
EYA1,True
EYA3,True
NPM1,True
PPP6R1,True
PPP6R2,True
PPP6R3,True
MMS22L,True
ARID1B,True
SMARCA2,True
ACTR5,True
ACTR8,True
NCAPG2,True
NCAPH,True
NCAPH2,True
SMC4,True
TOP1,True
TOP2A,True
TOP2B,True
DUT,True
CCNE1,True
CDKN2A,True
DAXX,True
CTC1,True
TEN1,True
ACD,True
TERF1,True
TERF2IP,True
TINF2,True
NCAPG,True
NCAPD3,True
NCAPD2,True
ARID2,True
INO80B,True
INO80C,True
INO80D,True
INO80E,True
NFRKB,True
RUVBL2,True
TFPT,True
BRD7,True
STAG2,True
PDS5A,True
PDS5B,True
RAD21,True
SMC1A,True
SMC1B,True
SMC3,True
STAG1,True
CLK2,True
YBX1,True
CHEK1,True
LCMT1,True
INTS7,True
KCTD13,True
KHDC1L,True
KIF18A,True
KIF20A,True
KPNA3,True
KPNA4,True
LEO1,True
HMCN1,True
LRWD1,True
MAP2K7,True
MFSD3,True
MND1,True
NADK,True
NOP14,True
NUDCD3,True
IMP3,True
HJURP,True
PGD,True
FBXO42,True
DLX3,True
DNPH1,True
DTL,True
DTYMK,True
EPN1,True
ERI1,True
ETAA1,True
FH,True
HELLS,True
FNDC3B,True
GATAD1,True
GGNBP2,True
GHR,True
GTF2B,True
GTPBP4,True
HDAC8,True
NUP62,True
PHF12,True
DDX46,True
USF2,True
THOC1,True
THOC5,True
TIAL1,True
TMEM208,True
TRAPPC4,True
URB1,True
UROD,True
USP48,True
STK11,True
WAC,True
WDR76,True
XKR7,True
ZBED3,True
ZNF512B,True
ZNF574,True
CHAF1A,True
TAF6L,True
SRSF11,True
POLR3A,True
RTF1,True
PSMA7,True
PSMC3IP,True
PSMD4,True
PSMD7,True
